Time,Distance,Velocity,Acceleration,FittedCurve
0.03333333333333333,480.0,0.0,0.0,479.9999998741394
0.06666666666666667,480.0,0.0,0.0,479.99999987896416
0.1,480.0,0.0,0.0,479.99999988393193
0.13333333333333333,480.0,0.0,0.0,479.999999889047
0.16666666666666666,480.0,0.0,0.0,479.9999998943136
0.2,480.0,0.0,0.0,479.99999989973634
0.23333333333333334,480.0,0.0,0.0,479.9999999053198
0.26666666666666666,480.0,0.0,0.0,479.99999991106876
0.3,480.0,0.0,0.0,479.9999999169881
0.3333333333333333,480.0,0.0,-1.3642420526593925e-11,479.9999999230829
0.36666666666666664,480.0,-9.094947017729282e-13,1.3642420526593846e-11,479.99999992935835
0.4,480.0,9.094947017729282e-13,1.3642420526593846e-11,479.9999999358198
0.43333333333333335,480.0,0.0,-1.3642420526593925e-11,479.9999999424728
0.4666666666666667,480.0,0.0,0.0,479.99999994932296
0.5,480.0,0.0,0.0,479.9999999563762
0.5333333333333333,480.0,0.0,0.0,479.99999996363846
0.5666666666666667,480.0,0.0,0.0,479.999999971116
0.6,480.0,0.0,0.0,479.99999997881514
0.6333333333333333,480.0,0.0,0.0,479.99999998674247
0.6666666666666666,480.0,0.0,0.0,479.9999999949048
0.7,480.0,0.0,0.0,480.0000000033091
0.7333333333333333,480.0,0.0,0.0,480.0000000119624
0.7666666666666667,480.0,0.0,0.0,480.0000000208723
0.8,480.0,0.0,0.0,480.0000000300462
0.8333333333333334,480.0,0.0,0.0,480.000000039492
0.8666666666666667,480.0,0.0,0.0,480.0000000492179
0.9,480.0,0.0,0.0,480.000000059232
0.9333333333333333,480.0,0.0,0.0,480.00000006954286
0.9666666666666667,480.0,0.0,0.0,480.0000000801594
1.0,480.0,0.0,1.3642420526593859e-11,480.0000000910906
1.0333333333333334,480.0,9.094947017729282e-13,-1.36424205265942e-11,480.0000001023458
1.0666666666666667,480.0,-9.094947017729282e-13,-3.6512269225973487e-25,480.0000001139346
1.1,480.0,9.094947017729282e-13,-3.6512269225973487e-25,480.0000001258669
1.1333333333333333,480.0,-9.094947017729282e-13,-3.6512269225973487e-25,480.00000013815287
1.1666666666666667,480.0,9.094947017729282e-13,-3.6512269225973487e-25,480.00000015080303
1.2,480.0,-9.094947017729282e-13,-1.36424205265942e-11,480.0000001638281
1.2333333333333334,480.0,0.0,2.7284841053187763e-11,480.00000017723926
